GHSA ID,CVE ID,Severity,Package,Ecosystem,Summary,KEV
GHSA-3v56-q6r6-4gcw,CVE-2021-41170,HIGH,neoan3-apps/template,Packagist,Insecure Inherited Permissions in neoan3-apps/template,
GHSA-qm7x-rc44-rrqw,,HIGH,apollo-server,npm,Cross-site Scripting Vulnerability in GraphQL Playground (distributed by Apollo Server),
GHSA-26cm-qrc6-mfgj,CVE-2021-41232,HIGH,github.com/stevenweathers/thunderdome-planning-poker,Go,Improper Neutralization of Special Elements used in an LDAP Query in stevenweathers/thunderdome-planning-poker,
GHSA-gpfh-jvf9-7wg5,CVE-2021-41220,HIGH,tensorflow,PyPI,Use after free / memory leak in `CollectiveReduceV2`,
GHSA-rrc9-gqf8-8rwg,CVE-2020-28472,HIGH,aws-sdk,npm,Prototype Pollution via file load in aws-sdk and @aws-sdk/shared-ini-file-loader,
GHSA-743r-5g92-5vgf,CVE-2021-40829,HIGH,software.amazon.awssdk.iotdevicesdk:aws-iot-device-sdk,Maven,Improper certificate management in AWS IoT Device SDK v2,
GHSA-v899-28g4-qmh8,CVE-2020-26705,HIGH,easy-xml,PyPI,XML External Entity vulnerability in Easy-XML,
GHSA-7pxj-m4jf-r6h2,CVE-2021-41203,HIGH,tensorflow,PyPI,Missing validation during checkpoint loading,
GHSA-q5mq-6fjg-4mw8,CVE-2020-21176,HIGH,thinkjs,npm,SQL Injection in thinkjs,
GHSA-7h26-63m7-qhf2,CVE-2021-41165,HIGH,ckeditor4,npm,HTML comments vulnerability allowing to execute JavaScript code,
GHSA-vfrc-ggmc-5jwv,CVE-2021-3950,HIGH,django-helpdesk,PyPI,Cross-site Scripting in django-helpdesk,
GHSA-8c5p-4362-9333,CVE-2021-3924,HIGH,getgrav/grav,Packagist,Path traversal in grav,
GHSA-pvmx-g8h5-cprj,CVE-2021-41164,HIGH,ckeditor4,npm,Advanced Content Filter (ACF) vulnerability allowing to execute JavaScript code using malformed HTML,
GHSA-c9x9-xv66-xp3v,CVE-2020-14389,HIGH,org.keycloak:keycloak-core,Maven,Improper privilege management in Keycloak,
GHSA-m342-ff57-4jcc,CVE-2021-41210,HIGH,tensorflow,PyPI,Heap OOB read in `tf.raw_ops.SparseCountSparseOutput`,
GHSA-g3p2-hfqr-9m25,CVE-2021-22968,HIGH,concrete5/core,Packagist,Improper file handling in concrete5/core,
GHSA-v585-23hc-c647,CVE-2020-36186,HIGH,com.fasterxml.jackson.core:jackson-databind,Maven,Unsafe Deserialization in jackson-databind,
GHSA-6mv9-qcx2-3hh3,CVE-2021-43174,HIGH,routinator,crates.io,Memory exhaustion in routinator,
GHSA-vwhq-49r4-gj9v,CVE-2021-41214,HIGH,tensorflow,PyPI,Reference binding to `nullptr` in `tf.ragged.cross`,
GHSA-cvgx-3v3q-m36c,CVE-2021-41211,HIGH,tensorflow,PyPI,Heap OOB in shape inference for `QuantizeV2`,
GHSA-3xv8-3j54-hgrp,CVE-2020-10378,HIGH,pillow,PyPI,Out-of-bounds read in Pillow,
GHSA-c65v-p733-9796,CVE-2021-3961,HIGH,snipe/snipe-it,Packagist,Cross-site Scripting in snipe/snipe-it,
GHSA-vx6v-xg64-pmr8,CVE-2021-3945,HIGH,django-helpdesk,PyPI,Cross-site Scripting in django-helpdesk,
GHSA-c4rh-4376-gff4,CVE-2021-40830,HIGH,software.amazon.awssdk.iotdevicesdk:aws-iot-device-sdk,Maven,Improper certificate management in AWS IoT Device SDK v2,
GHSA-h352-g5vw-3926,CVE-2021-43620,HIGH,fruity,crates.io,Improper Input Validation in fruity,
GHSA-5mxh-2qfv-4g7j,CVE-2021-3910,HIGH,github.com/cloudflare/cfrpki,Go,NUL character in ROA causes OctoRPKI to crash,
GHSA-9wx7-jrvc-28mm,,HIGH,starkbank-ecdsa,PyPI,Signature verification vulnerability in Stark Bank ecdsa libraries,
GHSA-cf2j-vf36-c6w8,CVE-2021-41189,HIGH,org.dspace:dspace-api,Maven,Communities and collections administrators can escalate their privilege up to system administrator,
GHSA-5993-wwpg-m92c,CVE-2021-39236,HIGH,org.apache.hadoop:hadoop-ozone-ozone-manager,Maven,Apache Ozone user impersonation due to non-validation of Ozone S3 tokens,
GHSA-j3f7-7rmc-6wqj,CVE-2021-40831,HIGH,software.amazon.awssdk.iotdevicesdk:aws-iot-device-sdk,Maven,Improper certificate management in AWS IoT Device SDK v2,
GHSA-4999-659w-mq36,CVE-2021-41266,HIGH,github.com/minio/console,Go,Authentication bypass issue in the Operator Console,
GHSA-93g4-3phc-g4xw,CVE-2021-27644,HIGH,org.apache.dolphinscheduler:dolphinscheduler-server,Maven,SQL injection in Apache DolphinScheduler ,
GHSA-ff84-84q5-fq4f,CVE-2021-39232,HIGH,org.apache.ozone:ozone-main,Maven,Incorrect Authorization in Apache Ozone,
GHSA-3hfw-x7gx-437c,CVE-2021-41281,HIGH,matrix-synapse,PyPI,Path traversal in Matrix Synapse,
GHSA-hf9p-9r39-r2h3,CVE-2020-11476,HIGH,concrete5/concrete5,Packagist,Unrestricted Uploads in Concrete5,
GHSA-cqv6-3phm-hcwx,CVE-2021-41221,HIGH,tensorflow,PyPI,Access to invalid memory during shape inference in `Cudnn*` ops,
GHSA-pgcq-h79j-2f69,CVE-2021-41206,HIGH,tensorflow,PyPI,Incomplete validation of shapes in multiple TF ops,
GHSA-fr77-rrx3-cp7g,CVE-2021-41212,HIGH,tensorflow,PyPI,Heap OOB read in `tf.ragged.cross`,
GHSA-pf7h-h2wq-m7pg,CVE-2021-21996,HIGH,salt,PyPI,Exposure of Resource to Wrong Sphere in salt,
GHSA-43g8-79x3-j898,CVE-2021-43564,HIGH,hov/jobfair,Packagist,Unrestricted access to predictable file paths in hov/jobfair,
GHSA-7rq6-7gv8-c37h,CVE-2021-41238,HIGH,Hangfire.Core,NuGet,Missing Authorization with Default Settings in Dashboard UI,
